video_id,url,title,channel_name,published_at,view_count,persons_found,total_persons
d5eTlW2lbxQ,https://youtu.be/d5eTlW2lbxQ,Sean Evans Reveals the Season 24 Hot Sauce Lineup | Hot Ones,First We Feast,2024-05-16T15:00:37Z,304520,Chris Hemsworth,1
jSo4cNjbtXg,https://youtu.be/jSo4cNjbtXg,Top 10 Most Watched Hot Ones Episodes (Marathon),First We Feast,2024-05-11T16:00:37Z,1739932,Billie Eilish,1
6KgLXmof1P8,https://youtu.be/6KgLXmof1P8,mgk was asked to say 3 mean things about Taylor Swift 😂,First We Feast,2024-04-25T20:00:03Z,425791,Taylor Swift,1
6--Pc7yYYcU,https://youtu.be/6--Pc7yYYcU,Gwyneth Paltrow's reaction to every wing on Hot Ones 🔥🫠,First We Feast,2024-03-22T19:00:06Z,730151,Gwyneth Paltrow,1
Kkx_FiSzbII,https://youtu.be/Kkx_FiSzbII,Gwyneth Paltrow Is Full of Regret While Eating Spicy Wings | Hot Ones,First We Feast,2024-03-21T15:00:28Z,1416752,Gwyneth Paltrow,1
9pL_ocTJS_g,https://youtu.be/9pL_ocTJS_g,"Gwyneth Paltrow on Hot Ones: ""I don't think I'm equipped to be here"" 😂",First We Feast,2024-03-20T19:00:03Z,191138,Gwyneth Paltrow,1
Dho6s1T0iJc,https://youtu.be/Dho6s1T0iJc,All of Paris Hilton's favorite snacks 🍟🍓🍫,First We Feast,2023-11-25T19:00:05Z,940252,Paris Hilton,1
Bc_emVlhi90,https://youtu.be/Bc_emVlhi90,"Paris Hilton shares her ""Sliving Krispy Charms"" cereal hack 🥣🍀",First We Feast,2023-11-23T16:00:09Z,104044,Paris Hilton,1
ev5jce2GvWU,https://youtu.be/ev5jce2GvWU,Paris Hilton Breaks Down Her Favorite Snacks | Snacked,First We Feast,2023-11-21T18:00:18Z,223162,Paris Hilton,1
R1YtkCNKEy8,https://youtu.be/R1YtkCNKEy8,Travis Kelce catches a high from DA BOMB 🥵,First We Feast,2023-10-13T15:00:20Z,278312,Travis Kelce,1
g2CMf_YrGd4,https://youtu.be/g2CMf_YrGd4,Now we know why Justin Timberlake sings it that way lol,First We Feast,2023-10-01T23:00:29Z,3791797,Justin Timberlake,1
97SPDxM3Ezw,https://youtu.be/97SPDxM3Ezw,*NSYNC Breaks Another Record While Eating Spicy Wings | Hot Ones,First We Feast,2023-09-21T15:00:06Z,7293517,Justin Timberlake,1
S8b3R7hzfDE,https://youtu.be/S8b3R7hzfDE,Harry Kane talks about becoming England's all time leading scorer ⚽,First We Feast,2023-08-14T20:00:13Z,110507,Harry Kane,1
6wboBsLCC8c,https://youtu.be/6wboBsLCC8c,"Margot Robbie: ""I think I might die"" 💀",First We Feast,2023-07-22T18:00:03Z,989725,Margot Robbie,1
J1hQj8F9iGQ,https://youtu.be/J1hQj8F9iGQ,Harry Kane's reaction to every wing on Hot Ones 💀,First We Feast,2023-07-14T19:00:14Z,179014,Harry Kane,1
Fy59Fq-GkJg,https://youtu.be/Fy59Fq-GkJg,Harry Kane Takes One For the Team While Eating Spicy Wings | Hot Ones,First We Feast,2023-07-13T15:00:23Z,4576416,Harry Kane,1
KhrQJ7g4a6s,https://youtu.be/KhrQJ7g4a6s,Harry Kane takes on the Wings of Death ⚽🥵,First We Feast,2023-07-12T19:00:12Z,184903,Harry Kane,1
TiAdbBckk2o,https://youtu.be/TiAdbBckk2o,Celebrities losing their s**t eating da' bomb hot sauce 🥵,First We Feast,2023-05-20T18:00:11Z,509184,Billie Eilish,1
sm1mr1XyiHk,https://youtu.be/sm1mr1XyiHk,"Billie Eilish thinks this fast food chain is a ""powerful hoe"" 🗣️",First We Feast,2023-03-09T20:00:16Z,1197945,Billie Eilish,1
KqYgHpI6oXA,https://youtu.be/KqYgHpI6oXA,Lenny Kravitz Stays Cool While Eating Spicy Wings | Hot Ones,First We Feast,2023-02-09T16:00:17Z,1958860,Jennifer Lopez,1
